,Tickers,Momentum,ID
387,PWR,0.8391330459887003,-0.28
446,TRMB,0.5459596843278292,-0.25333333333333335
167,ENPH,2.688669378734407,-0.24
240,IDXX,0.5140234721730923,-0.24
9,AES,0.6490824278065086,-0.24
125,CPRT,0.5281614642720855,-0.21333333333333337
443,TT,0.6445116971101956,-0.21333333333333337
188,FDX,0.8609727834977445,-0.21333333333333337
430,TTWO,0.4887868623768159,-0.19999999999999996
433,TEL,0.4987382625382024,-0.1866666666666667
496,XYL,0.5764884287708041,-0.1866666666666667
234,HWM,0.8006310034100579,-0.1866666666666667
381,PTC,0.5376012238415682,-0.1866666666666667
203,FCX,1.2489197110045853,-0.1866666666666667
331,NWSA,0.5251386870708126,-0.1866666666666667
489,WY,0.5017129313382944,-0.17333333333333334
365,PKI,0.4647227046599718,-0.17333333333333334
448,TWTR,0.817724063836953,-0.17333333333333334
437,TSLA,2.267565426149094,-0.17333333333333334
332,NWS,0.4968770795204589,-0.15999999999999998
81,CZR,0.8539688990770737,-0.15999999999999998
137,DE,0.7228770760419871,-0.15999999999999998
253,ISRG,0.4356912606394856,-0.15999999999999998
231,HON,0.4863099957768593,-0.15999999999999998
460,URI,0.5560253227929193,-0.14666666666666667
322,MS,0.5416585879023947,-0.14666666666666667
470,VIAC,0.621908854168193,-0.14666666666666667
359,PAYC,0.46014265314433134,-0.14666666666666667
424,SIVB,0.7994246219497463,-0.14666666666666667
498,ZBRA,0.501582305742259,-0.14666666666666667
15,ALB,0.9233792461344947,-0.1333333333333333
44,AAPL,0.4600720631086528,-0.1333333333333333
89,CAT,0.4585243030404824,-0.1333333333333333
431,TPR,1.3403614871353402,-0.1333333333333333
319,MPWR,0.5502910582174119,-0.1333333333333333
46,APTV,0.672099542451726,-0.1333333333333333
180,EXPE,0.6107055816541085,-0.12000000000000005
432,TGT,0.485333092076228,-0.12000000000000005
327,NTAP,0.5258835569845259,-0.12000000000000005
158,DXC,0.5606060606060608,-0.12000000000000005
87,CARR,0.7069756330501511,-0.12000000000000005
454,UAA,0.762833724822851,-0.12000000000000005
278,LRCX,0.46947283525506767,-0.12000000000000005
459,UPS,0.5336051930723722,-0.12000000000000005
488,WRK,0.5581346059852215,-0.12000000000000005
93,CE,0.5228127163301413,-0.10666666666666669
386,QRVO,0.5042975310663318,-0.10666666666666669
136,DVA,0.48344708657193736,-0.10666666666666669
175,ETSY,0.6747622897490693,-0.10666666666666669
249,IP,0.4478795020971207,-0.10666666666666669
