,Tickers,Momentum,ID
167,ENPH,4.566941582244909,-0.2094861660079051
437,TSLA,4.4234747338237606,-0.1462450592885376
315,MRNA,4.093612874445036,-0.035573122529644285
175,ETSY,2.6449497778433257,-0.10671936758893286
361,PENN,1.8954074075589693,-0.09090909090909088
203,FCX,1.344143902067982,-0.09090909090909088
345,NVDA,1.2123321261530364,-0.1620553359683794
87,CARR,1.2068739669511883,-0.14999999999999997
207,GNRC,1.1952892335312155,-0.06719367588932806
319,MPWR,1.1579420510837224,-0.09090909090909088
17,ALGN,1.0784908292365274,-0.01185770750988141
360,PYPL,1.0563701659790232,-0.13043478260869562
7,AMD,0.9512765762653754,-0.0039525691699604515
80,CDNS,0.8919704828874508,-0.18577075098814233
15,ALB,0.8686258319705271,-0.1541501976284585
387,PWR,0.8482477235129369,-0.13833992094861663
240,IDXX,0.8444705992575168,-0.20158102766798414
388,QCOM,0.8314440957183262,-0.01185770750988141
436,TER,0.8261949185910082,-0.06719367588932806
188,FDX,0.8218752583503695,-0.10671936758893286
485,WST,0.8205160864431686,-0.06719367588932806
426,SNPS,0.7574401727901985,-0.1462450592885376
255,IPGP,0.7528784874735586,-0.12252964426877466
3,ABMD,0.7402975140434682,-0.11462450592885376
44,AAPL,0.7296490874499142,-0.08300395256916993
137,DE,0.7257993880644229,-0.05928853754940716
373,POOL,0.7137080065112444,-0.1620553359683794
460,URI,0.7091163644296699,-0.07509881422924902
495,XLNX,0.7038727134852221,0.035573122529644285
88,CTLT,0.7032733599642083,-0.0988142292490119
428,TMUS,0.7028665481263616,-0.16996047430830036
459,UPS,0.6808516056818612,-0.04347826086956519
448,TWTR,0.6671798734314434,-0.11462450592885376
430,TTWO,0.6671212636686694,-0.18577075098814233
412,NOW,0.6273836584478334,-0.0988142292490119
432,TGT,0.6263246059468173,-0.04347826086956519
61,BBWI,0.6256103742799963,0.035573122529644285
24,AMZN,0.6213957043004763,-0.0988142292490119
297,MKTX,0.6192631307174552,-0.04347826086956519
98,CRL,0.6163798528313607,-0.035573122529644285
65,BIO,0.6151501184572745,-0.20158102766798414
424,SIVB,0.6137393734341134,-0.06719367588932806
278,LRCX,0.609816633220676,-0.09090909090909088
498,ZBRA,0.6079406731754744,-0.08300395256916993
102,CMG,0.5998776423850833,-0.0988142292490119
5,ATVI,0.5981644731160214,-0.10671936758893286
273,KLAC,0.5903724139052862,-0.0988142292490119
325,MSCI,0.5753219709923094,-0.16996047430830036
386,QRVO,0.5706593927244146,-0.05138339920948615
446,TRMB,0.5703197536272588,-0.17786561264822137
328,NFLX,0.5669245304326387,-0.027667984189723327
401,ROL,0.5574960446443435,-0.18577075098814233
365,PKI,0.5549574868884892,-0.1541501976284585
53,ADSK,0.5511302355628296,-0.1541501976284585
46,APTV,0.5405279430126169,-0.07509881422924902
141,DXCM,0.5357009396498569,-0.0988142292490119
442,TSCO,0.5313595979198129,-0.05928853754940716
66,TECH,0.5200235498827341,-0.0039525691699604515
161,EBAY,0.5188452329314797,-0.05928853754940716
45,AMAT,0.5082636201618576,-0.05928853754940716
309,MTD,0.5051639831150951,-0.11462450592885376
76,AVGO,0.5003600706885678,-0.09090909090909088
350,ODFL,0.4972399755143895,-0.13043478260869562
440,TMO,0.490794004688879,-0.10671936758893286
356,PKG,0.48768406538781894,-0.04347826086956519
335,NKE,0.4830549149856045,-0.05138339920948615
136,DVA,0.46988853748227655,-0.07509881422924902
159,EMN,0.4654818641035001,-0.027667984189723327
253,ISRG,0.46146688479317777,-0.1462450592885376
131,CMI,0.45995611051736107,-0.027667984189723327
11,A,0.4444722641360137,-0.1541501976284585
184,FFIV,0.44071403934136066,-0.04347826086956519
381,PTC,0.4390038096488156,-0.16996047430830036
186,FAST,0.4370144426332476,-0.0988142292490119
311,MCHP,0.43663542175508874,-0.035573122529644285
443,TT,0.4308159880785509,-0.13833992094861663
395,REGN,0.42957324336093206,-0.0039525691699604515
6,ADBE,0.4242751445400188,-0.13833992094861663
359,PAYC,0.42145459766934223,-0.1620553359683794
157,DD,0.4210318259352095,-0.01185770750988141
269,KEYS,0.4204753131772583,-0.13043478260869562
357,PH,0.41760859051550514,-0.05928853754940716
89,CAT,0.4175654176933079,-0.05928853754940716
312,MU,0.4160858935599592,-0.05138339920948615
68,BLK,0.4032428104083776,-0.20158102766798414
291,LOW,0.39899424093861224,-0.08300395256916993
126,GLW,0.3914174888433746,-0.05928853754940716
438,TXN,0.39036733796524725,-0.0988142292490119
320,MNST,0.3885886708070829,-0.1462450592885376
134,DHR,0.3866004690040028,-0.11462450592885376
148,DG,0.37884755826011407,-0.04347826086956519
2,ABBV,0.37712085702137244,-0.05138339920948615
217,GWW,0.37399157229298585,-0.05138339920948615
38,ADI,0.373814538063981,-0.07509881422924902
174,EL,0.37341366935764353,-0.08300395256916993
151,DPZ,0.3724771936971354,-0.05928853754940716
415,SWKS,0.37129064960216707,-0.10671936758893286
354,OTIS,0.3645200258378347,-0.040000000000000036
127,CTVA,0.36440056395301945,-0.06719367588932806
252,INTU,0.36241682001312214,-0.08300395256916993
