Ticker,Description,"Change 1m, %","Change 5m, %","Change 15m, %","Change 1h, %","Change 4h, %",Change %,"Change 1W, %","Change 1M, %",3-Month Performance,6-Month Performance,YTD Performance,Yearly Performance,1-Year Beta,Volatility
AAPL,Apple Inc.,0.05263216,0.07089865,0.22607741,0.18400233,0.36550095,-1.00836046,0.52495139,2.16031087,22.0089672,29.27987998,16.89652574,32.21104671,1.1902913,1.99058289
MSFT,Microsoft Corporation,0.08000267,0.13674872,0.39626143,0.46513184,0.42148056,0.009994,-0.30882646,-0.55319995,18.38400568,29.16702521,34.97437281,42.08433906,1.0729071,1.05723327
GOOG,Alphabet Inc.,0.01691884,-0.07899385,0.00172615,-0.09932576,0.10117695,-0.43671273,0.07494388,-0.39769837,16.30689572,41.00378097,65.40345229,86.11075429,1.1816508,0.9368932
AMZN,"Amazon.com, Inc.",0.01361621,-0.00226901,0.1354077,-0.0228839,0.07266266,0.4619168,1.36427021,1.57629819,7.4470841,15.30134352,8.24610907,7.85930411,1.0603992,1.42919669
FB,"Facebook, Inc.",0.07155161,0.00529661,0.10603892,0.01854059,0.52134701,-1.2062379,0.3481635,-0.47709421,14.32853899,42.53303133,38.22301948,37.94023089,1.2705156,1.97177086
TSLA,"Tesla, Inc.",-0.08521861,0.01684886,0.01552198,0.20562512,0.34966585,0.12617542,2.76728874,2.46697113,25.9009987,12.84465467,6.83038814,105.81795348,2.0203044,3.19621401
BRK.A,Berkshire Hathaway Inc.,0.0635019,0.03424122,-0.04386515,-0.0412528,0.23025593,0.20673286,-0.82084436,-2.13561991,-2.86430707,5.48565089,20.96055949,27.58338489,0.73543686,0.8448885
NVDA,NVIDIA Corporation,0.04702721,0.06271278,0.09409867,-0.04027386,0.03766303,-1.42529344,-2.20636519,-0.20549475,28.69384875,79.16708439,71.11451551,75.69012977,1.6363384,3.11689494
V,Visa Inc.,0.0829477,0.01745125,0.04800559,-0.11328482,-0.31135037,1.24629867,1.76802452,-0.00436491,-1.38607895,2.65268629,4.73643305,12.2660002,1.2503948,1.74088266
BABA,Alibaba Group Holding Limited,0.13489736,0.07854815,0.28193833,0.21130481,0.08206812,-2.54053437,0.24075161,2.2276783,-19.97468592,-27.14041827,-26.64890646,-37.50320337,0.5450123,3.48576155
JPM,JP Morgan Chase & Co.,-0.00946313,-0.00946313,-0.09769934,0.00315477,-0.1102918,-0.44595189,-0.62072857,-0.90653329,-2.72492942,2.17237156,24.73439836,57.13294339,1.0187799,0.97443685
JNJ,Johnson & Johnson,-0.00581598,0.01163399,0.0232707,-0.10458428,-0.0494143,-0.24373259,-1.79387569,-0.7104488,3.81061658,8.01131008,9.22607701,14.82965932,0.62543726,1.11059154
WMT,Walmart Inc.,0.0474866,0.02373766,-0.03389141,-0.12190167,-0.06775986,0.12901473,-1.19932998,-0.43214045,6.02530917,11.55999395,2.29621922,5.41139467,0.77292156,1.08362298
